toml_key,yaml_key,go_var,go_type,default_val
keystore.tls.password,keystore.tls.password,Password,string,
keystore.tls.alias,keystore.tls.alias,Alias,string,
keystore.tls.key_password,keystore.tls.keyPassword,KeyPassword,string,
truststore,truststore,TrustStore,TrustStore,
truststore.file_name,truststore.fileName,FileName,string,
truststore.password,truststore.password,Password,string,
truststore.type,truststore.type,Type,string,
identity,identity,Identity,Identity,
identity.auth_framework,identity.authFramework,AuthFramework,AuthFramework,
identity.auth_framework.endpoint,identity.authFramework.endpoint,Endpoint,AuthFrameworkEndpoint,
identity.auth_framework.endpoint.app_password,identity.authFramework.endpoint.appPassword,AppPassword,string,
account_recovery,accountRecovery,AccountRecovery,AccountRecovery,
account_recovery.endpoint,accountRecovery.endpoint,Endpoint,AccoutnRecoveryEndpoint,
account_recovery.endpoint.auth,accountRecovery.endpoint.auth,Auth,EndpointAuth,
account_recovery.endpoint.auth.hash,accountRecovery.endpoint.auth.hash,Hash,string,
monitoring,monitoring,Monitoring,Monitoring,
monitoring.jmx,monitoring.jmx,Jmx,Jmx,TRUE
monitoring.jmx.rmi_server_start,monitoring.jmx.rmiServerStart,RmiServerStart,bool,
hazelcast,hazelcast,Hazelcast,Hazelcast,"{ ""hazelcastShutdownHookEnabled"" : false, ""hazelcastLoggingType"" : ""log4j2""  }"
hazelcast.shutdownhook,hazelcast.shutdownhook,HazelcastShutdownHook,HazelcastShutdownHook,
hazelcast.shutdownhook.enabled,hazelcast.shutdownhook.enabled,Enabled,bool,
hazelcast.logging,hazelcast.logging,Logging,Logging,
hazelcast.logging.type,hazelcast.logging.type,Type,string,
authentication,authentication,Authentication,Authentication,
authentication.consent,authentication.consent,Consent,Consent,
authentication.consent.data_source,authentication.consent.dataSource,DataSource,string,
authentication.authenticator,authentication.authenticator,Authenticator,Authenticator,
authentication.authenticator.basic,authentication.authenticator.basic,Basic,Basic,
authentication.authenticator.basic.parameters,authentication.authenticator.basic.parameters,Parameters,BasicParameters,
authentication.authenticator.basic.parameters.showAuthFailureReason,authentication.authenticator.basic.parameters.showAuthFailureReason,ShowAuthFailureReason,bool,
authentication.authenticator.basic.parameters.showAuthFailureReasonOnLoginPage,authentication.authenticator.basic.parameters.showAuthFailureReasonOnLoginPage,ShowAuthFailureReasonOnLoginPage,bool,
authentication.authenticator.totp,authentication.authenticator.totp,Totp,Totp,
authentication.authenticator.totp.parameters,authentication.authenticator.totp.parameters,Parameters,TotpParameters,"{""Issuer"":""WSO2"",""TOTPAuthenticationEndpointEnableTOTPPage"":""/totpauthenticationendpoint/enableTOTP.jsp"",""TOTPAuthenticationEndpointErrorPage"":""/totpauthenticationendpoint/totpError.jsp"",""TOTPAuthenticationEndpointURL"":""/totpauthenticationendpoint/totp.jsp"",""UseCommonIssuer"":true,""authenticationMandatory"":true,""encodingMethod"":""Base32"",""enrolUserInAuthenticationFlow"":true,""secondaryUserstore"":""primary"",""timeStepSize"":""30"",""usecase"":""local"",""windowSize"":""3""}"
authentication.authenticator.totp.parameters.showAuthFailureReason,authentication.authenticator.totp.parameters.showAuthFailureReason,ShowAuthFailureReason,bool,
authentication.authenticator.totp.parameters.showAuthFailureReasonOnLoginPage,authentication.authenticator.totp.parameters.showAuthFailureReasonOnLoginPage,ShowAuthFailureReasonOnLoginPage,bool,
authentication.authenticator.totp.parameters.encodingMethod,authentication.authenticator.totp.parameters.encodingMethod,EncodingMethod,string,
authentication.authenticator.totp.parameters.timeStepSize,authentication.authenticator.totp.parameters.timeStepSize,TimeStepSize,string,
authentication.authenticator.totp.parameters.windowSize,authentication.authenticator.totp.parameters.windowSize,WindowSize,string,
authentication.authenticator.totp.parameters.authenticationMandatory,authentication.authenticator.totp.parameters.authenticationMandatory,AuthenticationMandatory,string,
authentication.authenticator.totp.parameters.enrolUserInAuthenticationFlow,authentication.authenticator.totp.parameters.enrolUserInAuthenticationFlow,EnrolUserInAuthenticationFlow,string,
authentication.authenticator.totp.parameters.usecase,authentication.authenticator.totp.parameters.usecase,UseCase,string,
authentication.authenticator.totp.parameters.secondaryUserstore,authentication.authenticator.totp.parameters.secondaryUserstore,SecondaryUserstore,string,
authentication.authenticator.totp.parameters.TOTPAuthenticationEndpointURL,authentication.authenticator.totp.parameters.totpAuthenticationEndpointUrl,TotpAuthenticationEndpointUrl,string,
authentication.authenticator.totp.parameters.TOTPAuthenticationEndpointErrorPage,authentication.authenticator.totp.parameters.totpAuthenticationEndpointErrorPage,TotpAuthenticationEndpointErrorPage,string,
authentication.authenticator.totp.parameters.TOTPAuthenticationEndpointEnableTOTPPage,authentication.authenticator.totp.parameters.totpAuthenticationEndpointEnableTotpPage,TotpAuthenticationEndpointEnableTotpPage,string,
authentication.authenticator.totp.parameters.Issuer,authentication.authenticator.totp.parameters.Issuer,Issuer,string,
authentication.authenticator.totp.parameters.UseCommonIssuer,authentication.authenticator.totp.parameters.useCommonIssuer,UserCommonIssuer,string,
authentication.authenticator.totp.enable,authentication.authenticator.totp.enable,Enable,bool,FALSE
authentication.authenticator.email_otp,authentication.authenticator.emailOtp,EmailOtp,EmailOtp,
authentication.authenticator.email_otp.name,authentication.authenticator.emailOtp.name,Name,string,"""EmailOTP"""
authentication.authenticator.email_otp.enable,authentication.authenticator.emailOtp.enable,Enable,bool,FALSE
authentication.authenticator.email_otp.parameters,authentication.authenticator.emailOtp.parameters,Parameters,EmailOtpParameters,"{""CaptureAndUpdateEmailAddress"":true,""EMAILOTPAuthenticationEndpointURL"":""/emailotpauthenticationendpoint/emailotp.jsp"",""EMAILOTPMandatory"":false,""EmailAddressRequestPage"":""/emailotpauthenticationendpoint/emailAddress.jsp"",""EmailOTPAuthenticationEndpointErrorPage"":""/emailotpauthenticationendpoint/emailotpError.jsp"",""EmailOTPEnableByUserClaim"":true,""federatedEmailAttributeKey"":""email"",""secondaryUserstore"":""primary"",""sendOTPToFederatedEmailAttribute"":false,""showEmailAddressInUI"":true,""useEventHandlerBasedEmailSender"":true,""usecase"":""local""}"
authentication.authenticator.email_otp.parameters.showAuthFailureReason,authentication.authenticator.emailOtp.parameters.showAuthFailureReason,ShowAuthFailureReason,bool,
authentication.authenticator.email_otp.parameters.showAuthFailureReasonOnLoginPage,authentication.authenticator.emailOtp.parameters.showAuthFailureReasonOnLoginPage,ShowAuthFailureReasonOnLoginPage,bool,
authentication.authenticator.email_otp.parameters.EMAILOTPAuthenticationEndpointURL,authentication.authenticator.emailOtp.parameters.emailOtpAuthenticationEndpointUrl,EmailOtpAuthenticationEndpointUrl,string,
authentication.authenticator.email_otp.parameters.EmailOTPAuthenticationEndpointErrorPage,authentication.authenticator.emailOtp.parameters.emailOtpAuthenticationEndpointErrorPage,EmailOtpAuthenticationEndpointErrorPage,string,
authentication.authenticator.email_otp.parameters.EmailAddressRequestPage,authentication.authenticator.emailOtp.parameters.emailAddressRequestPage,EmailAddressRequestPage,string,
authentication.authenticator.email_otp.parameters.usecase,authentication.authenticator.emailOtp.parameters.usecase,UseCase,string,
authentication.authenticator.email_otp.parameters.secondaryUserstore,authentication.authenticator.emailOtp.parameters.secondaryUserstore,SecondaryUserstore,string,
authentication.authenticator.email_otp.parameters.EMAILOTPMandatory,authentication.authenticator.emailOtp.parameters.emailOtpMandatory,EmailOtpMandatory,bool,
authentication.authenticator.email_otp.parameters.sendOTPToFederatedEmailAttribute,authentication.authenticator.emailOtp.parameters.sendOtpToFederatedEmailAttribute,SendOtpToFederatedEmailAttribute,bool,
authentication.authenticator.email_otp.parameters.federatedEmailAttributeKey,authentication.authenticator.emailOtp.parameters.federatedEmailAttributeKey,FederatedEmailAttributeKey,string,
authentication.authenticator.email_otp.parameters.EmailOTPEnableByUserClaim,authentication.authenticator.emailOtp.parameters.emailOtpEnableByUserClaim,EmailOtpEnableByUserClaim,bool,
authentication.authenticator.email_otp.parameters.CaptureAndUpdateEmailAddress,authentication.authenticator.emailOtp.parameters.captureAndUpdateEmailAddress,CaptureAndUpdateEmailAddress,bool,
authentication.authenticator.email_otp.parameters.showEmailAddressInUI,authentication.authenticator.emailOtp.parameters.showEmailAddressInUi,ShowEmailAddressInUi,bool,
authentication.authenticator.email_otp.parameters.useEventHandlerBasedEmailSender,authentication.authenticator.emailOtp.parameters.useEventHandlerBasedEmailSender,UseEventHandlerBasedEmailSender,string,
authentication.authenticator.sms_otp,authentication.authenticator.smsOtp,SmsOtp,SmsOtp,
authentication.authenticator.sms_otp.name,authentication.authenticator.smsOtp.name,Name,string,"""SmsOTP"""
authentication.authenticator.sms_otp.parameters,authentication.authenticator.smsOtp.parameters,Parameters,SmsParameters,"{""BackupCode"":true,""CaptureAndUpdateMobileNumber"":true,""MobileNumberRegPage"":""/smsotpauthenticationendpoint/mobile.jsp"",""ResendEnable"":true,""RetryEnable"":true,""SMSOTPAuthenticationEndpointErrorPage"":""/smsotpauthenticationendpoint/smsotpError.jsp"",""SMSOTPAuthenticationEndpointURL"":""/smsotpauthenticationendpoint/smsotp.jsp"",""SMSOTPEnableByUserClaim"":true,""SMSOTPMandatory"":false,""SendOTPDirectlyToMobile"":false,""redirectToMultiOptionPageOnFailure"":false}"
authentication.authenticator.sms_otp.parameters.SMSOTPAuthenticationEndpointURL,authentication.authenticator.smsOtp.parameters.smsOtpAuthenticationEndpointUrl,SmsOtpAuthenticationEndpointUrl,string,
authentication.authenticator.sms_otp.parameters.SMSOTPAuthenticationEndpointErrorPage,authentication.authenticator.smsOtp.parameters.smsOtpAuthenticationEndpointErrorPage,SmsOtpAuthenticationEndpointErrorPage,string,
authentication.authenticator.sms_otp.parameters.MobileNumberRegPage,authentication.authenticator.smsOtp.parameters.mobileNumberRegPage,MobileNumberRegPage,string,
authentication.authenticator.sms_otp.parameters.RetryEnable,authentication.authenticator.smsOtp.parameters.retryEnable,RetryEnable,bool,
authentication.authenticator.sms_otp.parameters.ResendEnable,authentication.authenticator.smsOtp.parameters.resendEnable,ResendEnable,bool,
authentication.authenticator.sms_otp.parameters.BackupCode,authentication.authenticator.smsOtp.parameters.backupCode,BackupCode,string,
authentication.authenticator.sms_otp.parameters.SMSOTPEnableByUserClaim,authentication.authenticator.smsOtp.parameters.smsOtpEnableByUserClaim,SmsOtpEnabledByUserClaim,bool,
authentication.authenticator.sms_otp.parameters.SMSOTPMandatory,authentication.authenticator.smsOtp.parameters.smsOtpMandatory,SmsOtpMandatory,bool,
authentication.authenticator.sms_otp.parameters.CaptureAndUpdateMobileNumber,authentication.authenticator.smsOtp.parameters.captureAndUpdateMobileNumber,CaptureAndUpdateMobileNumber,bool,
authentication.authenticator.sms_otp.parameters.SendOTPDirectlyToMobile,authentication.authenticator.smsOtp.parameters.sendOtpDirectlyToMobile,SendOtpDirectlyToMobile,bool,
authentication.authenticator.sms_otp.parameters.redirectToMultiOptionPageOnFailure,authentication.authenticator.smsOtp.parameters.redirectToMultiOptionPageOnFailure,RedirectToMultiOptionPageOnFailure,bool,
authentication.authenticator.sms_otp.enable,authentication.authenticator.smsOtp.enable,Enable,string,FALSE
authentication.authenticator.magiclink,authentication.authenticator.magiclink,MagicLink,MagicLink,
authentication.authenticator.magiclink.name,authentication.authenticator.magiclink.name,Name,string,
authentication.authenticator.magiclink.enable,authentication.authenticator.magiclink.enable,Enable,bool,FALSE
authentication.authenticator.magiclink.parameters,authentication.authenticator.magiclink.parameters,Parameters,MagicLinkParameters,
authentication.authenticator.magiclink.parameters.ExpiryTime,authentication.authenticator.magiclink.parameters.expiryTime,ExpiryTime,string,
authentication.authenticator.magiclink.parameters.Tags,authentication.authenticator.magiclink.parameters.tags,Tags,string,
authentication.authenticator.magiclink.parameters.BlockedUserStoreDomains,authentication.authenticator.magiclink.parameters.blockedUserStoreDomains,BlockedUserStoreDomains,string,
authentication.authenticator.fido,authentication.authenticator.fido,Fido,Fido,
authentication.authenticator.fido.parameters,authentication.authenticator.fido.parameters,Parameters,FidoParameters,
authentication.authenticator.fido.parameters.Tags,authentication.authenticator.fido.parameters.tags,Tags,string,
authentication.endpoint,authentication.endpoint,Endpoint,AuthEndpoint,
authentication.endpoint.enableCustomClaimMappings,authentication.endpoint.enableCustomClaimMappings,EnableCustomClaimMappings,bool,
authentication.endpoint.enableMergingCustomClaimMappingsWithDefault,authentication.endpoint.enableMergingCustomClaimMappingsWithDefault,EnableMergingCustomClaimMappingsWithDefault,bool,
authentication.adaptive,authentication.adaptive,Adaptive,Adaptive,
authentication.adaptive.allow_loops,authentication.adaptive.allowLoops,AllowLoops,bool,
authentication.adaptive.execution_supervisor,authentication.adaptive.executionSupervisor,ExecutionSupervisor,ExecutionSupervisor,
authentication.adaptive.execution_supervisor.timeout,authentication.adaptive.executionSupervisor.timeout,Timeout,int32,
authentication.custom_authenticator,authentication.customAuthenticator,CustomAuthenticator,string,
authentication.jit_provisioning,authentication.jitProvisioning,JitProvisioning,JitProvisioning,
authentication.jit_provisioning.enable_enhanced_feature,authentication.jitProvisioning.enableEnhancedFeature,EnableEnhancedFeature,bool,
recaptcha,recaptcha,Recaptcha,Recaptcha,
recaptcha.enabled,recaptcha.enabled,Enabled,bool,FALSE
recaptcha.api_url,recaptcha.apiUrl,ApiUrl,string,"""https://www.google.com/recaptcha/api.js"""
recaptcha.verify_url,recaptcha.verifyUrl,VerifyUrl,string,"""https://www.google.com/recaptcha/api/siteverify"""
recaptcha.request_wrap_urls,recaptcha.requestWrapUrls,RequestWrapUrls,string,
recaptcha.site_key,recaptcha.siteKey,SiteKey,string,
recaptcha.secret_key,recaptcha.secretKey,SecretKey,string,
output_adapter,outputAdapter,OutputAdapter,OutputAdapter,
output_adapter.email,outputAdapter.email,Email,Email,
output_adapter.email.from_address,outputAdapter.email.fromAddress,FromAddress,string,
output_adapter.email.username,outputAdapter.email.username,Username,string,
output_adapter.email.password,outputAdapter.email.password,Password,string,
output_adapter.email.hostname,outputAdapter.email.hostname,Hostname,string,
output_adapter.email.port,outputAdapter.email.port,Port,string,
output_adapter.email.enable_start_tls,outputAdapter.email.enableStartTls,EnableStartTls,string,
output_adapter.email.enable_authentication,outputAdapter.email.enableAuthentication,EnableAuthentication,string,
clustering,clustering,Clustering,Clustering,"{""membershipScheme"":""kubernetes"",""properties"":{""membershipSchemeClassName"":""org.wso2.carbon.membership.scheme.kubernetes.KubernetesMembershipScheme"",""kubernetesNamespace"":""wso2-iam-system"",""kubernetesServices"":""wso2is-service"",""kubernetesMasterSkipSslVerification"":true,""useDns"":false} }"
clustering.membership_scheme,clustering.membershipScheme,MembershipScheme,string,
clustering.properties,clustering.properties,Properties,ClusteringProperties,
clustering.properties.membershipSchemeClassName,clustering.properties.membershipSchemeClassName,MembershipSchemeClassName,string,
clustering.properties.KUBERNETES_NAMESPACE,clustering.properties.kubernetesNamespace,KubernetesNamespace,string,
clustering.properties.KUBERNETES_SERVICES,clustering.properties.kubernetesServices,KubernetesServices,string,
clustering.properties.KUBERNETES_MASTER_SKIP_SSL_VERIFICATION,clustering.properties.kubernetesMasterSkipSslVerification,KubernetesMasterSkipSslVerification,bool,
clustering.properties.USE_DNS,clustering.properties.useDns,UseDns,bool,
tenant_mgt,tenantMgt,TenantMgt,TenantMgt,
tenant_mgt.enable_email_domain,tenantMgt.enableEmailDomain,EnableEmailDomain,bool,FALSE
tenant_context,tenantContext,TenantContext,TenantContext,"{ ""enableTenantQualifiedUrls"":true }"
tenant_context.enable_tenant_qualified_urls,tenantContext.enableTenantQualifiedUrls,EnableTenantQualifiedUrls,bool,
tenant_context.enable_tenanted_sessions,tenantContext.enableTenantedSessions,EnableTenantedSessions,bool,
tenant_context.rewrite,tenantContext.rewrite,Rewrite,Rewrite,
tenant_context.rewrite.custom_webapps,tenantContext.rewrite.customWebapps,CustomWebapps,bool,
admin_service,adminService,AdminService,AdminService,
admin_service.wsdl,adminService.wsdl,Wsdl,Wsdl,
admin_service.wsdl.enable,adminService.wsdl.enable,Enable,bool,FALSE
system_roles,systemRoles,SystemRoles,SystemRoles,
system_roles.enable,systemRoles.enable,Enable,bool,
system_roles.read_only_roles,systemRoles.readOnlyRoles,ReadOnlyRoles,bool,
carbon_health_check,carbonHealthCheck,CarbonHealthCheck,CarbonHealthCheck,
carbon_health_check.enable,carbonHealthCheck.enable,Enable,bool,
carbon_health_check.health_checker,carbonHealthCheck.healthChecker,HealthChecker,HealthChecker,
carbon_health_check.health_checker.data_source_health_checker,carbonHealthCheck.healthChecker.dataSourceHealthChecker,DatasourceHealthChecker,DatasourceHealthChecker,
carbon_health_check.health_checker.data_source_health_checker.properties,carbonHealthCheck.healthChecker.dataSourceHealthChecker.properties,Properties,DataSourceHealthCheckerProperties,
carbon_health_check.health_checker.data_source_health_checker.properties.monitored,carbonHealthCheck.healthChecker.dataSourceHealthChecker.properties.monitored,Monitored,Monitored,
carbon_health_check.health_checker.data_source_health_checker.properties.monitored.datasources,carbonHealthCheck.healthChecker.dataSourceHealthChecker.properties.monitored.datasources,Datasources,string,
system_applications,systemApplications,SystemApplications,SystemApplications,
system_applications.read_only_roles,systemApplications.readOnlyRoles,ReadOnlyRoles,bool,
system_applications.fidp_role_based_authz_enabled_apps,systemApplications.fidpRoleBasedAuthzEnabledApps,FidpRoleBasedAuthzEnabledApps,string,
catalina,catalina,Catalina,Catalina,
catalina.valves,catalina.valves,Valves,Valves,
catalina.valves.valve,catalina.valves.valve,Valve,Valve,
catalina.valves.valve.properties,catalina.valves.valve.properties,Properties,ValveProperties,
catalina.valves.valve.properties.className,catalina.valves.valve.properties.className,ClassName,string,
